lat,lon,name,accesslevel,wheelchair
51.0159851,13.6992382,Coschütz,2,yes
50.995796,13.8584856,Hüfnerweg,2,yes
50.9952415,13.8663784,Borsbergblick,2,yes
50.9969005,13.8557381,Johannes-Brahms-Straße,2,yes
50.997813,13.852665,Am Brüchigt,0,unknown
50.997927,13.852674,Am Brüchtigt,0,unknown
51.0021718,13.8416849,Bahnhofstraße,0,unknown
50.9981373,13.8259579,Sosaer Straße,2,yes
50.9969211,13.8274822,Professor-Billroth-Straße,0,unknown
51.0042463,13.8482653,Putjatinplatz,0,unknown
51.0380903,13.7472896,Lennéplatz,2,yes
51.0432926,13.7881173,Bergmannstraße,-1,no
51.0294339,13.7309633,Technische Universität (Fritz-Foerster-Platz),2,yes
51.0295802,13.7307619,Technische Universität (Fritz-Foerster-Platz),2,yes
51.0967691,13.9478075,Kleinwolmsdorf Gaststätte,0,unknown
51.0982717,13.9528725,"Arnsdorf-Kleinwolmsdorf, Bäckerei",0,unknown
51.0399227,13.6325868,"Gompitz, Gompitzer Höhe",2,yes
51.0819171,13.6947463,Elbepark,2,yes
51.0498061,13.7568033,St.-Benno-Gymnasium,-1,no
51.0528321,13.7618865,Gerokstraße,-1,no
51.0889792,13.7238081,Hubertusplatz,-1,no
51.0347849,13.7314194,Reichenbachstraße,2,yes
50.9338244,13.8292307,Abzweig nach Crotta,0,unknown
51.0882138,13.703596,Am Trachauer Bahnhof,1,limited
51.0853533,13.7050237,Rankestraße,2,yes
51.0275708,13.7312742,Mommsenstraße,2,yes
51.0893414,13.7049622,Haltepunkt Trachau,2,yes
51.0504027,13.6787855,Weidentalstraße,-1,no
51.0499848,13.6783275,Weidentalstraße,2,yes
51.052821,13.6732877,Gorbitzer Straße,-1,no
51.0531056,13.6723276,Gorbitzer Straße,2,yes
51.0469693,13.7915611,Wittenberger Straße,2,yes
51.0286185,13.8468877,Staffelsteinstraße,0,unknown
51.032547,13.8398979,Moosleite,0,unknown
51.031346,13.5474308,Grumbach Wendeplatz,0,unknown
51.0621836,13.8862089,"Weißig, Am Weißiger Bach",0,unknown
51.0603763,13.8612076,"Dresden, Rossendorfer Straße",0,unknown
51.0393623,13.7320785,Internationale Bushaltestelle,-1,no
51.0512925,13.8195029,Calberlastraße,0,unknown
51.0371943,13.832388,Altwachwitz,0,unknown
51.0254279,13.8514465,Gustavheim,0,unknown
51.013845,13.8640228,Pillnitz (Leonardo-da-Vinci-Straße),0,unknown
51.012319,13.8736448,Rathaus Pillnitz,0,unknown
51.0086241,13.8746635,Pillnitzer Platz,0,unknown
51.0811469,13.7196485,Wurzener Straße,0,unknown
50.9907302,13.6822003,"Kleinnaundorf, Am Segen",0,unknown
51.0397522,13.8529171,Pappritz,2,yes
51.1363714,13.7361253,Abzweig Waldteiche,0,unknown
51.0982128,13.7316159,Hellerhofstraße,2,yes
51.0999521,13.735993,Hellerberge,2,yes
51.1139028,13.7279062,Elsterweg,-1,no
51.1182538,13.7249993,Keulenbergstraße,-1,no
51.1210441,13.7212025,Reineckeweg,1,limited
51.1234501,13.7236165,Altwilschdorf,0,unknown
51.1181862,13.7059702,"Boxdorf, Ernst-Wagner-Straße",0,unknown
51.1197785,13.7003393,"Boxdorf, Bebelplatz",0,unknown
51.1286547,13.7030427,"Boxdorf, Ortsausgang",0,unknown
51.0264291,13.7559805,"Dresden, Caspar-David-Friedrich-Straße",2,yes
51.0281676,13.7589531,Wasaplatz,1,limited
51.0277284,13.7771998,Betriebshof Gruna,0,unknown
51.0298239,13.7827355,Fraunhofer-Institutszentrum,1,limited
51.1295324,13.7101714,Am Weiher,0,unknown
51.120897,13.697114,"Boxdorf, Schule",0,unknown
51.1220761,13.6984432,"Boxdorf, Feuerwehr",0,unknown
50.9586854,13.8428714,Gamig,0,unknown
50.9570136,13.8331791,Gorknitz,0,unknown
51.156915,13.7327592,Bärnsdorf Siedlung,0,unknown
51.1641303,13.7275175,"Bärnsdorf, Wendeplatz",0,unknown
51.1773829,13.7186296,"Berbisdorf, Siedlung",0,unknown
51.0845915,13.7427394,Oberauer Straße,0,unknown
51.0132811,13.7428176,Babisnauer Straße,0,unknown
51.1379393,13.7818526,"Klotzsche, Industriegebiet Nord",0,unknown
51.1556298,13.9068874,"Wachau, Leppersdorfer Straße",0,unknown
51.1625502,13.7675015,Marsdorf Mitte,0,unknown
51.1240836,13.6778758,"Reichenberg, Dreßler Ecke",0,unknown
51.1568489,13.6220101,Forsthaus Kreyern,0,unknown
51.123435,13.5791512,Bahnhof,1,limited
