id,lat,lon
25319923,51.0027487,13.5924153
25319909,50.9983326,13.6035691
25319910,50.9983473,13.6034204
245475692,50.9981323,13.605114
245475694,50.9987363,13.6045609
29047598,50.9817025,13.6170407
29797202,50.9820839,13.6218567
2476433927,50.9820763,13.6216251
2008612174,50.9815213,13.6216913
251064783,50.9808733,13.6300004
246280255,50.9901809,13.6246794
246280257,50.9893947,13.6244196
246280259,50.9889388,13.6240609
246280251,50.9892919,13.6314679
246280244,50.9875329,13.630893
29047613,50.9838356,13.63141
246280232,50.9908117,13.6182902
246280233,50.9904457,13.6162204
246280288,50.9921416,13.6178234
25319890,51.001118,13.6111681
25319892,50.9998751,13.610609
258060106,50.9981536,13.6075444
306226200,51.000535,13.6075728
25319885,51.0029329,13.6177144
245475708,51.0029683,13.6179009
245475709,51.0033137,13.6177765
345122979,51.002747,13.6152451
974765177,51.0032917,13.6175971
974765208,51.0024345,13.615175
1322325914,51.002995,13.6182234
246280231,50.9910263,13.6198047
246280290,50.9924008,13.6192285
246280293,50.9926123,13.6217523
61164982,50.9928983,13.6291407
61164981,50.9939485,13.6308469
30185834,51.0064438,13.5937859
30185836,51.0069029,13.5956828
30185837,51.0074748,13.5958425
30185845,51.0048614,13.5953051
30185847,51.003612,13.5957101
351554465,51.007579,13.5959686
366903928,51.0072993,13.5957766
30185840,51.006915,13.5976086
30185844,51.0053238,13.5939333
704513651,51.0220178,13.5932137
1228362551,51.0219091,13.5956023
25319989,51.0220151,13.6025455
245475698,51.0038407,13.6156313
245475699,51.0050796,13.6163448
245475817,51.005822,13.6169434
354436787,51.0037967,13.613397
974765157,51.0045091,13.6143331
739491417,51.0036555,13.6251952
25319376,51.0163402,13.6303641
246855616,51.0149304,13.6312823
25320002,51.0220568,13.6138214
25320004,51.0217976,13.6146052
216437740,51.0230452,13.6134343
276661902,51.0258247,13.6163953
313551185,51.0262687,13.6165674
382192067,51.0263266,13.6155758
1228362478,51.0256955,13.6162928
276661912,51.0253329,13.6157521
277731259,51.0243846,13.6158692
25320008,51.0230397,13.6185085
25320011,51.0229411,13.6240669
366903863,51.0223144,13.6233942
277194594,51.0219757,13.6271297
313010001,51.0220155,13.6270105
12261797,51.0237433,13.6207996
216437409,51.0247519,13.6214262
216437431,51.0255018,13.621745
216437484,51.0268334,13.6246129
216437394,51.0247871,13.6255078
216437402,51.02548,13.6251365
1343612054,51.0250849,13.6270879
274243539,51.0248065,13.6309285
21558572,51.0262003,13.6295121
276369072,51.0256666,13.6286102
25344265,51.0359615,13.5910319
25320048,51.0309963,13.5929419
25320049,51.0309485,13.5939931
25320053,51.0328666,13.5930117
25320057,51.0343464,13.5944527
25320059,51.0354701,13.5942344
25320075,51.033245,13.5968223
25320107,51.0318711,13.5972763
400670579,51.0335978,13.5968677
705010406,51.0328725,13.5926231
705010407,51.0318318,13.5929695
1269612973,51.0317291,13.5950144
25320073,51.034395,13.6000316
25320074,51.0335192,13.6001807
25320082,51.0322907,13.6010511
25320091,51.0332038,13.6004039
25344311,51.0361924,13.5941495
25320064,51.0362495,13.597851
25344322,51.0364578,13.5972553
25306314,51.0552041,13.5936774
25306315,51.0550055,13.5941817
313135480,51.0548849,13.5950345
382196801,51.0339617,13.6062427
25421740,51.0422289,13.6226093
24944049,51.0419467,13.6309646
242161295,51.0402196,13.6258058
258056517,51.0420667,13.6312106
21527721,51.0446041,13.6117219
60470650,51.0442472,13.6177735
60470651,51.0458415,13.6176501
21528486,51.0541923,13.6070061
21528484,51.0503591,13.6081753
21528488,51.0552294,13.6064454
21527850,51.0442238,13.6188835
24944061,51.0450971,13.6191639
24944064,51.0446765,13.6231107
25421739,51.0427312,13.618477
21527764,51.0434294,13.6229533
21527862,51.043323,13.631434
24944041,51.0437752,13.6290537
24944044,51.0430147,13.6289242
24944045,51.043063,13.6295272
24944048,51.042729,13.6313117
24944059,51.0432492,13.6251899
25306312,51.0560211,13.5918656
25306272,51.0664112,13.5964002
25306247,51.0775852,13.6019476
32182227,51.0819858,13.6031199
32263151,51.0777843,13.603697
25306240,51.0809214,13.6034254
25306245,51.0780305,13.6025153
25306246,51.0777532,13.6023693
32182228,51.0809388,13.6029979
32258845,51.0769524,13.6007992
2031598701,51.0770507,13.6008948
60471034,51.0688722,13.6080588
27333904,51.0613221,13.6247519
21528498,51.0616332,13.6262566
25283759,51.0712228,13.611253
60471029,51.0691322,13.6082289
60471033,51.0692199,13.6075806
25283784,51.070078,13.6166316
25283737,51.0764031,13.607888
32258840,51.0818447,13.6084565
259171493,51.0813001,13.6095294
25283723,51.0784838,13.6103673
32221648,51.081298,13.6084565
304414114,51.0817794,13.6113477
21528516,51.0694738,13.6223442
25283792,51.0698206,13.6209805
304417994,51.0801484,13.6210036
25306064,51.0796869,13.6309187
32258844,51.0827231,13.6034929
367055073,51.0859283,13.6043651
27413456,51.0938035,13.6043151
30058792,51.093366,13.6036679
30714786,51.0922822,13.6019898
30714842,51.0896038,13.6031296
122559756,51.0934167,13.6026355
30714810,51.0914484,13.6033106
348086264,51.091024,13.602934
259171434,51.0820928,13.6113662
259171505,51.0834084,13.6101216
304414122,51.0823853,13.6113462
259171521,51.0822064,13.611884
259171770,51.0829014,13.6175859
259171528,51.0829151,13.6165044
259171553,51.0829199,13.6154415
259171564,51.0851249,13.6157713
259171584,51.0844449,13.6173612
259171588,51.0838416,13.6160755
122559810,51.089765,13.6073005
823294064,51.0914089,13.6060169
60471256,51.0886307,13.613055
1906824531,51.0830773,13.6241727
259171789,51.0847306,13.6240354
30064272,51.0878093,13.6233739
304408633,51.0879734,13.6220674
288749459,51.0845614,13.6245544
293039959,51.084528,13.6235554
25281946,51.0868175,13.6310418
25281948,51.0883916,13.6290624
25281950,51.0884213,13.628659
25281951,51.0877851,13.6284949
25281954,51.0860331,13.628233
25283471,51.0839489,13.6284053
25306055,51.0848881,13.6289911
259171798,51.0832574,13.6251019
259171801,51.0831506,13.6255933
25281955,51.0857668,13.6279588
304409429,51.0843223,13.6287674
30064267,51.0891972,13.6210772
30064269,51.0890524,13.6239158
304408623,51.0886794,13.6237634
25281949,51.0889756,13.6309176
30714746,51.1074749,13.6056811
32340673,51.1067656,13.6054325
32340675,51.1071158,13.6072821
25694661,51.1074536,13.6154032
32340411,51.1078839,13.6139667
33770344,51.1065472,13.6135098
30714715,51.1041248,13.6239218
30714733,51.1063823,13.6208768
30714735,51.1053964,13.6204892
32340681,51.1054301,13.6231194
32340682,51.105602,13.623763
310286133,51.1057928,13.6232648
348086230,51.1053673,13.6213455
32340678,51.1038188,13.6226296
32457541,51.1070576,13.6186614
32457524,51.1075865,13.6242498
32457525,51.1077895,13.6236294
30714731,51.1059467,13.6233045
32457526,51.1059015,13.6242054
30714709,51.1050648,13.6283658
30714712,51.105126,13.6262936
30714721,51.1043096,13.6280613
32163378,51.1076516,13.6301027
32343680,51.10702,13.6296691
32343681,51.1067669,13.6295042
32457521,51.1079668,13.6266063
73554538,51.1050461,13.6260854
73557752,51.1050654,13.6276681
30714724,51.105995,13.6289923
32457522,51.1070326,13.625995
32457523,51.1073276,13.6250688
32163377,51.1081492,13.6304366
73558333,51.1050875,13.6268781
32340724,51.1114908,13.5931911
73905283,51.1131177,13.6048804
32340405,51.1101375,13.6044527
73905987,51.113231,13.6042926
1497600029,51.1108422,13.5990172
1931317531,51.1101633,13.604308
32340647,51.1088987,13.6044162
2303442549,51.1202593,13.5981802
68511243,51.121313,13.597283
67007428,51.1211128,13.6051704
67182915,51.1198597,13.6039265
67182916,51.1195241,13.6052137
68510000,51.118398,13.6034747
73890098,51.1206501,13.60365
73892724,51.1200511,13.6035566
32457582,51.1174208,13.6036312
68509608,51.1178976,13.6026335
32457581,51.118331,13.6019099
68518533,51.121578,13.5929519
88023916,51.1261964,13.596625
88027505,51.1277541,13.5956357
90112782,51.1268437,13.597133
90594604,51.1225165,13.5921742
90594620,51.1224862,13.5926299
88027167,51.1275001,13.5951285
32457585,51.1241445,13.5986011
2445861647,51.1242287,13.5984609
32457578,51.1214045,13.6041112
33774689,51.1256385,13.6032565
33774692,51.1260162,13.6021084
67199645,51.1231279,13.6030617
68512900,51.1242903,13.6010864
88025238,51.1256345,13.6011898
88025586,51.1262833,13.5992884
88025594,51.1253388,13.6005875
318633785,51.1243547,13.5989367
318633791,51.1237378,13.6002925
67198018,51.1222912,13.6021609
